Date,AAPL,NVDA,TSLA,AAPL_vol_30,AAPL_vol_90,NVDA_vol_30,NVDA_vol_90,TSLA_vol_30,TSLA_vol_90
2021-03-05,,,,,,,,,
2021-03-08,-0.04258167364782679,-0.07256204227838821,-0.06022647211002265,,,,,,
2021-03-09,0.039872103827501,0.07737746089325495,0.17932422724092825,,,,,,
2021-03-10,-0.00919938344606708,-0.004011236826452951,-0.008228658746544238,,,,,,
2021-03-11,0.016380591175157423,0.04095060361309528,0.04611578467877202,,,,,,
2021-03-12,-0.007690070431954332,-0.010861239431604703,-0.008440322262061938,,,,,,
2021-03-15,0.02422075241779,0.026175474404647237,0.020290923457497674,,,,,,
2021-03-16,0.012589132405842873,0.007570058860545294,-0.04485056616535179,,,,,,
2021-03-17,-0.006398184405609284,0.003763647649303802,0.036168182716139544,,,,,,
2021-03-18,-0.03449195089352125,-0.047701350680724064,-0.07185483865656163,,,,,,
2021-03-19,-0.004524701448930431,0.009411834182346597,0.0026146204202717196,,,,,,
2021-03-22,0.027928412960716315,0.02619564271513071,0.02282604424611223,,,,,,
2021-03-23,-0.006930266120942847,-0.00840020212526678,-0.011755568323352674,,,,,,
2021-03-24,-0.02014286112222341,-0.03353140652167868,-0.04935891957349459,,,,,,
2021-03-25,0.0040952194423061455,-0.008761505668572719,0.015913451150282882,,,,,,
2021-03-26,0.0051802587076216055,0.02449747160038737,-0.034408922294941656,,,,,,
2021-03-29,0.0014389100624786371,0.008550382445812924,-0.012097708519675754,,,,,,
2021-03-30,-0.012340057019630497,-0.006211200092640636,0.03903004836499774,,,,,,
2021-03-31,0.018579537633043083,0.03670136685042796,0.049583238181436014,,,,,,
2021-04-01,0.006952325192914396,0.03395160047326938,-0.009295676339634342,,,,,,
2021-04-05,0.023348006092585756,0.012261242681862163,0.043339450503925146,,,,,,
2021-04-06,0.0024433959053150292,-0.00863936259070774,0.0008244917909405018,,,,,,
2021-04-07,0.013252719218751633,0.020043620188055805,-0.030297341572824186,,,,,,
2021-04-08,0.019083031183698737,0.01197619104671562,0.01891152267100398,,,,,,
2021-04-09,0.020038875673070812,0.005586606708639776,-0.009964809087227553,,,,,,
2021-04-12,-0.013288457574840566,0.05487322974036279,0.03620462421797954,,,,,,
2021-04-13,0.023961573059731657,0.030511941756724087,0.0824888647347577,,,,,,
2021-04-14,-0.017956017436142946,-0.025908184858664803,-0.040271203728141934,,,,,,
2021-04-15,0.01849051139763254,0.05489572173191714,0.008973059634595115,,,,,,
2021-04-16,-0.0025222622000969012,-0.01438873745209978,0.0012579383645946116,,,,,,
2021-04-19,0.005038178596013914,-0.03527137022587242,-0.03457440083947636,0.2978542927057674,,0.5086695917910089,,0.7738134649052957,
2021-04-20,-0.01287472761239517,-0.012479636512180613,0.006068614686242775,0.26896437346092555,,0.45389769910577693,,0.7479769190839676,
2021-04-21,0.0029266810785551255,0.012479636512180656,0.034368771227306624,0.2471550960004968,,0.40527440432615447,,0.5520393786306103,
2021-04-22,-0.01175847074417873,-0.033856536032737854,-0.03336785363602825,0.24838372157956862,,0.42111904964329294,,0.5613389792425814,
2021-04-23,0.01789204820373505,0.027964538627363044,0.013374109868292964,0.24911993308261288,,0.4133129724260052,,0.5470623460191828,
2021-04-26,0.0029765333939465997,0.01369437768955964,0.012019768586466953,0.24697031186102525,,0.41104930641553966,,0.5470814316719728,
2021-04-27,-0.0024416310008771626,-0.006497748657520007,-0.046413586234734926,0.23957963513471575,,0.4081484767212887,,0.5617410570742524,
2021-04-28,-0.006053426400469573,-0.0065402456806098784,-0.014752186569676392,0.23897457239421158,,0.4094559841287975,,0.5475226747281078,
2021-04-29,-0.0007688759413074173,0.003275469682470638,-0.025376520312178644,0.2377965611041674,,0.4094674979919386,,0.5420549916760791,
2021-04-30,-0.015268655472415057,-0.02115082150943382,0.046789882576017995,0.21766007056974038,,0.3865761651568126,,0.5161186715599165,
2021-05-03,0.008167120416955782,-0.011421017661467584,-0.03520308422408707,0.21700942162420295,,0.389452562357827,,0.5277161473091645,
2021-05-04,-0.035963184785560855,-0.03297001923756983,-0.01665122499164047,0.23249174484333732,,0.39886292160413295,,0.526250954453291,
2021-05-05,0.0019253916898728793,0.0069589703243035225,-0.003926998665252391,0.23121883376282068,,0.39758337824982193,,0.5251963108781749,
2021-05-06,0.012742069347659401,0.004842624475787991,-0.011105480231643232,0.22402678731334508,,0.3818943090014689,,0.5049912292972553,
2021-05-07,0.005287885728236333,0.01981615918746473,0.013204773049869927,0.22412369019420003,,0.38216650483232906,,0.504390093163697,
2021-05-10,-0.026157791234014887,-0.03792250341829465,-0.06659906368193282,0.23892348512079759,,0.39782292056750523,,0.5322330909997514,
2021-05-11,-0.007461510692189036,0.0028070193869840104,-0.019017929529011685,0.24035473834156607,,0.39753801475844175,,0.5340371018281701,
2021-05-12,-0.025225968736305265,-0.03930480919100583,-0.04524083931467361,0.2494278795561079,,0.4155883729184328,,0.536802022501069,
2021-05-13,0.017790382735857046,-0.006581376589297919,-0.031356684564475545,0.24895034952665027,,0.4031187312750138,,0.5195566293923582,
2021-05-14,0.0196530606772401,0.04167269640056808,0.031102367531493296,0.2543325306986695,,0.40921687182568306,,0.5298705079250834,
2021-05-17,-0.009291119149994184,-0.005645745412573238,-0.022116830112723425,0.247172896259308,,0.40823390231110623,,0.5129156548706909,
2021-05-18,-0.011346597387551846,-0.010672459890771872,0.0017666931069583549,0.2492855356310495,,0.40866857251409594,,0.513032191086543,
2021-05-19,-0.0013143844823359557,0.003570157308705261,-0.025235278756250795,0.24595402794081223,,0.4045417948912128,,0.5111544260228543,
2021-05-20,0.020825612326570736,0.038452832466142645,0.04053657417295882,0.24722613751452674,,0.41849799734217064,,0.5239297627529431,
2021-05-21,-0.014842723521707846,0.025060573256183213,-0.010071510034119602,0.24238241045560918,,0.42424327288615576,,0.5239384621045496,
2021-05-24,0.013231249480286708,0.040634686009211544,0.04306087457147305,0.24373318511093972,,0.41041290108196415,,0.5289882860822062,
2021-05-25,-0.0016140750820808254,0.0025657486814336097,-0.0029228922743825,0.2319489166928501,,0.400750801440807,,0.45980910594381613,
2021-05-26,-0.0004039261677893822,0.003197956035316293,0.02363202587517081,0.2268905518068316,,0.39324835480260145,,0.45779759537943415,
2021-05-27,-0.012439690475639236,-0.013500687218902576,0.018720846263679147,0.2211075114830901,,0.3602272289225251,,0.46135058284532426,
2021-05-28,-0.0053320334685950325,0.0474022388945839,-0.008932682578348063,0.22128087343477815,,0.38452468132549594,,0.46104335093004156,
2021-06-01,-0.0027179525029838096,0.001233806448928344,-0.0021134548430696773,0.22015324059788147,,0.3691079562265933,,0.4528470139180921,
2021-06-02,0.006248478769650319,0.03155601637406227,-0.030562816216588178,0.21941993762852371,,0.3761946151533751,,0.4578183782181688,
2021-06-03,-0.012204323986990683,0.0112861310837147,-0.0548194086417163,0.2208308575125524,,0.3759593248750474,,0.462856502446473,
2021-06-04,0.018821184301000844,0.035396790798992966,0.044704471509537734,0.22741183235296475,,0.36996499504743,,0.4816558028001531,
2021-06-07,8.14166497498337e-05,0.002277905312993867,0.010114937132178462,0.2199437914246087,,0.36393699434847965,,0.48060121458055605,
2021-06-08,0.006653708416422163,-0.009717138476933111,-0.00253158408765731,0.22093774113551432,,0.36527853281879374,,0.4776421943639218,
2021-06-09,0.003068477859812847,-0.005182850645808573,-0.008034175803678212,0.2214144948909258,,0.3649698228938793,,0.4626368584825946,
2021-06-10,-0.008013966069904264,0.0040334252319025364,0.018761717689078052,0.22181454869778935,,0.3635885592763558,,0.46694605471276196,
2021-06-11,0.009786159219404214,0.022741173311552,-0.00034425947668290666,0.22436157240551674,,0.36742265022943965,,0.46275167532747885,
2021-06-14,0.024250840586622604,0.010623527365730473,0.01270789339944277,0.23239572700993097,,0.3591834523343243,,0.44059124834729807,
2021-06-15,-0.006462312662144201,-0.012874513122049474,-0.03012379912188628,0.23168930887604275,,0.3598239445527945,,0.43776395652351335,
2021-06-16,0.003945400841087229,0.0011261262451351167,0.009117922713938024,0.20636697107660437,,0.3407514773412462,,0.43789198200451185,
2021-06-17,0.012521684971236825,0.04672462968236113,0.019207271057121906,0.20920197622162826,,0.35948759425631266,,0.4428414136502034,
2021-06-18,-0.010161894684009255,-0.0010746911297654092,0.010839689973777303,0.20856437087680887,,0.3604215579391663,,0.44383833566704306,
2021-06-21,0.014042983154229676,-0.011354542102925897,-0.004002802479890217,0.2119225582798571,,0.36309687687033765,,0.4414830311701569,
